,category,num_Unique_HADMs
0,hasCE_AGE_yrBIN_1,3632
1,hasCE_AGE_yrBIN_2,218
2,hasCE_AGE_yrBIN_3,105
3,hasCE_AGE_yrBIN_4,102
4,hasCE_AGE_yrBIN_5,60
5,hasCE_AGE_yrBIN_6,66
6,hasCE_AGE_yrBIN_7,51
7,hasCE_AGE_yrBIN_8,32
8,hasCE_AGE_yrBIN_9,51
9,hasCE_AGE_yrBIN_10,28
10,hasCE_AGE_yrBIN_11,35
11,hasCE_AGE_yrBIN_12,38
12,hasCE_AGE_yrBIN_13,50
13,hasCE_AGE_yrBIN_14,33
14,hasCE_AGE_yrBIN_15,16
15,hasCE_AGE_yrBIN_16,3
16,hasCE_AGE_yrBIN_17,6
17,hasCE_AGE_yrBIN_18,0
18,lacksCE_AGE_yrBIN_1,3747
19,lacksCE_AGE_yrBIN_2,1380
20,lacksCE_AGE_yrBIN_3,705
21,lacksCE_AGE_yrBIN_4,574
22,lacksCE_AGE_yrBIN_5,426
23,lacksCE_AGE_yrBIN_6,351
24,lacksCE_AGE_yrBIN_7,312
25,lacksCE_AGE_yrBIN_8,249
26,lacksCE_AGE_yrBIN_9,212
27,lacksCE_AGE_yrBIN_10,188
28,lacksCE_AGE_yrBIN_11,179
29,lacksCE_AGE_yrBIN_12,172
30,lacksCE_AGE_yrBIN_13,166
31,lacksCE_AGE_yrBIN_14,158
32,lacksCE_AGE_yrBIN_15,55
33,lacksCE_AGE_yrBIN_16,27
34,lacksCE_AGE_yrBIN_17,16
35,lacksCE_AGE_yrBIN_18,6
